;ds;y;trend;yhat_lower;yhat_upper;trend_lower;trend_upper;Christi Himmelfahrt;Christi Himmelfahrt_lower;Christi Himmelfahrt_upper;Erster Mai;Erster Mai_lower;Erster Mai_upper;Erster Weihnachtstag;Erster Weihnachtstag_lower;Erster Weihnachtstag_upper;Karfreitag;Karfreitag_lower;Karfreitag_upper;Neujahr;Neujahr_lower;Neujahr_upper;Ostermontag;Ostermontag_lower;Ostermontag_upper;Pfingstmontag;Pfingstmontag_lower;Pfingstmontag_upper;Reformationstag;Reformationstag_lower;Reformationstag_upper;Tag der Deutschen Einheit;Tag der Deutschen Einheit_lower;Tag der Deutschen Einheit_upper;Zweiter Weihnachtstag;Zweiter Weihnachtstag_lower;Zweiter Weihnachtstag_upper;additive_terms;additive_terms_lower;additive_terms_upper;holidays;holidays_lower;holidays_upper;weekly;weekly_lower;weekly_upper;yearly;yearly_lower;yearly_upper;multiplicative_terms;multiplicative_terms_lower;multiplicative_terms_upper;yhat;residuals
30;2011-10-31;22124350.0;10915856.554690886;-75797012.63007888;127126002.83228111;10915856.554690886;10915856.554690886;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14435373.248295313;14435373.248295313;14435373.248295313;0.0;0.0;0.0;10471503.781337004;10471503.781337004;10471503.781337004;3963869.4669583123;3963869.4669583123;3963869.4669583123;0.0;0.0;0.0;25351229.802986197;3226879.802986197
31;2011-11-01;-45187827.0;10889296.72795389;-72546513.07769778;117687097.82416917;10889296.72795389;10889296.72795389;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9723278.676201263;9723278.676201263;9723278.676201263;0.0;0.0;0.0;5176495.516147548;5176495.516147548;5176495.516147548;4546783.160053715;4546783.160053715;4546783.160053715;0.0;0.0;0.0;20612575.404155154;65800402.40415515
32;2011-11-02;-49763567.0;10862736.901216893;-80514531.05362663;115349422.15732668;10862736.901216893;10862736.901216893;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;6534234.837227576;6534234.837227576;6534234.837227576;0.0;0.0;0.0;1503571.4166965347;1503571.4166965347;1503571.4166965347;5030663.420531042;5030663.420531042;5030663.420531042;0.0;0.0;0.0;17396971.73844447;67160538.73844448
33;2011-11-03;50231713.0;10836177.074479895;-75901328.60896263;122007094.18642904;10836177.074479895;10836177.074479895;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;8138898.781050774;8138898.781050774;8138898.781050774;0.0;0.0;0.0;2718160.657341816;2718160.657341816;2718160.657341816;5420738.123708958;5420738.123708958;5420738.123708958;0.0;0.0;0.0;18975075.855530668;-31256637.144469332
34;2011-11-04;110662578.0;10809617.247742899;-74364532.38037291;124090596.30156103;10809617.247742899;10809617.247742899;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11039409.177799419;11039409.177799419;11039409.177799419;0.0;0.0;0.0;5314798.907260715;5314798.907260715;5314798.907260715;5724610.2705387045;5724610.2705387045;5724610.2705387045;0.0;0.0;0.0;21849026.425542317;-88813551.57445768
35;2011-11-05;-66158837.0;10783057.421005901;-90022700.9229768;102302138.74290152;10783057.421005901;10783057.421005901;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-202336.07900895583;-202336.07900895583;-202336.07900895583;0.0;0.0;0.0;-6154247.233071048;-6154247.233071048;-6154247.233071048;5951911.154062092;5951911.154062092;5951911.154062092;0.0;0.0;0.0;10580721.341996945;76739558.34199694
36;2011-11-06;-74797910.0;10756497.594268905;-98132214.53625782;93435715.6717502;10756497.594268905;10756497.594268905;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-12916384.045329014;-12916384.045329014;-12916384.045329014;0.0;0.0;0.0;-19030283.045632243;-19030283.045632243;-19030283.045632243;6113899.000303228;6113899.000303228;6113899.000303228;0.0;0.0;0.0;-2159886.451060109;72638023.54893988
37;2011-11-07;-756724.0;10729937.767531907;-74271681.80436304;120167208.2194673;10729937.767531907;10729937.767531907;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;16694520.077934552;16694520.077934552;16694520.077934552;0.0;0.0;0.0;10471503.78130881;10471503.78130881;10471503.78130881;6223016.296625742;6223016.296625742;6223016.296625742;0.0;0.0;0.0;27424457.845466457;28181181.845466457
38;2011-11-08;6457573.0;10703377.940794911;-68932537.62377945;114285866.35037728;10703377.940794911;10703377.940794911;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;11468915.725140646;11468915.725140646;11468915.725140646;0.0;0.0;0.0;5176495.516145515;5176495.516145515;5176495.516145515;6292420.208995132;6292420.208995132;6292420.208995132;0.0;0.0;0.0;22172293.665935557;15714720.665935557
39;2011-11-09;163108650.0;10676818.114057913;-76726150.6073098;112412568.72861639;10676818.114057913;10676818.114057913;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;7839072.648411372;7839072.648411372;7839072.648411372;0.0;0.0;0.0;1503571.416685074;1503571.416685074;1503571.416685074;6335501.231726297;6335501.231726297;6335501.231726297;0.0;0.0;0.0;18515890.762469284;-144592759.2375307
